"","A4","B4","C4","F3","G3","H3"
"AAEL000049",27.1216554044072,19.436255177062,6.10212918289724,25.2230404670617,15.4034260348342,18.3940667282736
"AAEL000050",13.2660270999818,9.71812740164394,6.10212958970588,63.2352282131969,35.6710928088553,40.561276389559
"AAEL000051",8.54921746443269,3.36396717749213,8.13617278627451,0,0.810706654746712,0
"AAEL000053",2.06360421555272,8.97057913997902,6.91574686833333,5.32881136628063,6.89100656534705,5.65971298458963
"AAEL000055",7.66481565776724,11.2132239249738,9.35659870421569,14.9206718255858,15.4034264401875,12.7343542153267
"AAEL000057",0,0,0,0,0.405353327373356,0
"AAEL000058",0,0,0,0,0,0
"AAEL000063",0,0,0,0,0,0
"AAEL000064",0,0,0,1.4210163643415,0.810706654746712,0.471642748715803
"AAEL000065",0,0.747548261664918,0,2.13152454651225,0.810706654746712,2.35821374357901
"AAEL000066",0,0,0,0,0,0
"AAEL000069",0,0,0,0,0,0
"AAEL000071",0,0,0,0,0,0
"AAEL000073",0,0.373774130832459,0,0,0,0
"AAEL000074",0.294800602221817,0,0.406808639313726,2.48677863759763,2.02676663686678,1.88657099486321
"AAEL000075",0,0.373774130832459,0,0,0.405353327373356,0
"AAEL000076",2.06360421555272,2.99019304665967,2.84766047519608,12.3672251394928,9.72847985696054,9.43285497431605
"AAEL000077",8.25441686221088,13.0820945791361,17.4927714904902,17.4074504631834,26.7533196066415,26.4119939280849
"AAEL000079",33.3124683458659,62.0465053444141,88.2774751378871,74.2481050368435,64.4511790523636,64.615056574065
"AAEL000080",340.78949616842,148.762104071319,403.147361559902,36.9464254728791,36.8871527909754,23.5821374357901
"AAEL000081",3.03047413228491,5.15192171271529,4.55085068030589,25.9084687761641,18.414131124434,19.6184946950727
"AAEL000084",18.5724379399745,29.1543822049318,24.0017097195098,53.9986218449771,67.6940056713504,62.2568428304859
"AAEL000085",0,0,0,0,0,0
"AAEL000087",0,0.373774130832459,0,0,0.405353327373356,0
"AAEL000088",1.83298907444965,2.59782477414069,3.13716625017233,12.4273579337285,8.58933688476955,9.91899271962814
"AAEL000089",0,0,0,0,0,0
"AAEL000090",37.7761574675377,51.9546041857118,43.2679406918044,103.023686414759,82.1589617361831,92.8223152340037
"AAEL000091",6.78041385110179,4.85906370082197,2.84766047519608,24.8677863759763,24.3211996424013,20.2806381947795
"AAEL000092",100.232204755418,91.5746620539525,92.7523697635294,66.7877691240506,57.9655258143899,59.4269863381911
"AAEL000094",0.294800602221817,0,0,0.355254091085376,0.810706654746712,0
"AAEL000095",0,0.373774130832459,0,0.355254091085376,0,0
"AAEL000097",0,0,0,0,0,0
"AAEL000098",0,0,0,0.355254091085376,0,0
"AAEL000099",0.884401806665451,0,1.22042591794118,1.4210163643415,1.21605998212007,0.943285497431605
"AAEL000101",127.648660762047,157.732683211298,171.266437151078,6.74982773062214,20.6730196960411,7.54628397945284
"AAEL000102",44.8096915377162,41.488928522403,54.1055490287255,52.932859571721,57.1548191596432,50.4657741125909
"AAEL000106",3.5376072266618,4.11151543915705,3.2544691145098,5.68406545736601,6.48565323797369,6.13135573330543
"AAEL000107",0.589601204443634,1.12132239249738,1.6272345572549,3.55254091085376,1.62141330949342,4.71642748715803
"AAEL000108",0,0,0,0,0,0
"AAEL000109",0,3.04723882828145,0,0,0,0
"AAEL000111",0.294800602221817,0,0,0.355254091085376,1.62141330949342,0
"AAEL000113",0,0,0,0,0,0
"AAEL000115",1.7688036133309,2.24264478499475,2.44085183588235,10.3023686414759,5.67494658322698,1.88657099486321
"AAEL000116",0.884401806665451,1.8688706541623,1.6272345572549,3.90779500193913,2.02676663686678,3.77314198972642
"AAEL000117",0,0,0,0,0,0
"AAEL000118",3.5376072266618,2.61641891582721,2.03404319656863,18.8284668275249,12.1605998212007,18.3940671999163
"AAEL000119",5.01161023777089,5.60661196248689,4.47489503245098,10.6576227325613,15.4034264401875,15.0925679589057
"AAEL000122",0.294800602221817,1.49509652332984,2.03404319656863,4.97355727519526,5.67494658322698,7.07464123073704
"AAEL000123",0,0,0,0,0,0
"AAEL000124",0,0,0,13.1444013701589,9.72847985696054,4.71642748715803
"AAEL000126",5.82803574237363,3.73774130832459,0,33.64885326523,32.8336195172418,47.1281786370928
"AAEL000127",12.3816252933163,5.60661196248689,10.5770246221569,2.842032728683,2.43211996424013,2.35821374357901
"AAEL000128",43.6828896410733,81.3376856992054,75.4792623272008,80.9215232965386,71.6795291691706,62.1518806233302
"AAEL000134",0,0,0,0,0,0.943285497431605
"AAEL000137",0,1.12132239249738,0,6.39457363953676,6.08029991060034,2.35821374357901
"AAEL000138",55.7173138199234,44.1053474382302,50.8510799142157,110.128768236466,119.173878247767,109.421117702066
"AAEL000139",0,0,0,0,0,0
"AAEL000140",1.17920240888727,1.12132239249738,1.6272345572549,5.68406545736601,4.86423992848027,5.18807023587383
"AAEL000143",7.66481565776724,8.2230308783141,7.72936414696078,49.7355727519526,58.7762324691366,61.7852000817701
"AAEL000146",3.83240782888362,1.49509652332984,4.06808639313726,15.6311800077565,22.2944330055346,21.2239236922111
"AAEL000147",2.06360421555272,1.8688706541623,0.813617278627451,9.23660636821977,7.2963598927204,7.07464123073704
"AAEL000148",0,0.373774130832459,1.6272345572549,3.19728681976838,2.43211996424013,2.35821374357901
"AAEL000149",1.17920240888727,2.24264478499475,0.813617278627451,6.39457363953676,3.24282661898685,4.71642748715803
"AAEL000151",0,0,0,0,0,0
