"","A4","B4","C4","F3","G3","H3"
"AAEL000425",8,5,7,10,14,7
"AAEL000427",70,93,109,133,116.969879,125
"AAEL000428",231,269,285,98,106,112
"AAEL000429",0,2,0,1,2,4
"AAEL000431",29,46,19,143,81,68
"AAEL000432",0,0,0,0,0,0
"AAEL000433",0,1,1,4,2,2
"AAEL000434",3,3,5,28,18,27
"AAEL000435",6,6,6,47,27,28
"AAEL000436",19,19,15,66,46,37
"AAEL000438",12,4,10,16,5,18
"AAEL000439",2,6,3,8,4,3
"AAEL000440",47,39,20,33,46,43
"AAEL000441",1,3,4,5,2,2
"AAEL000442",0,0,0,0,1,0
"AAEL000444",28,30,27,132,99,104
"AAEL000445",2.48,0,0,2.48,0,0
"AAEL000448",21.999999,13.999999,21,47.999999,14,34
"AAEL000449",11.094058,7.052005,8.115262,1.008191,6.066486,3.037544
"AAEL000450",51,78,59,118,88,120
"AAEL000451",47,27,42,82,87,66
"AAEL000452",10,8,8,43,33,24
"AAEL000454",107,132,85,238,273,158
"AAEL000455",1,0,0,1,0,0
"AAEL000457",0,0,0,0,0,0
"AAEL000458",332.999999,231,238.999999,478,409,304
"AAEL000459",258,233,202,211,177,159
"AAEL000460",6.199347,12.398694,7.082325,44.079221,25.309145,25.399239
"AAEL000461",103.999999,58,83,48,41,35
"AAEL000462",0,0,0,0,0,0
"AAEL000463",0,0,0,0,0,1
"AAEL000464",0,0,0,1,1,1
"AAEL000465",4,5,7,12,6,9
"AAEL000467",33,16,15,73,54,35
"AAEL000468",21,21,30,76,86,76
"AAEL000469",17,28,32,51,43,48
"AAEL000471",1,0,1,6,2,5
"AAEL000474",0,0,0,0,1,0
"AAEL000475",16,15,13,66,53,33
"AAEL000476",0,0,2,2,6,4
"AAEL000477",6.958791,5.963668,3.975994,0,0,0
"AAEL000478",53,33,38,73,56,57
"AAEL000483",9,8,9,22,20,21
"AAEL000484",0,0,0,0,0,0
"AAEL000485",94,139,138,138,136,143
"AAEL000486",124,139,124,301,214,176
"AAEL000487",16,11,8,34,28,23
"AAEL000488",0,1,2,60,18,18
"AAEL000492",0,0,1,0,0,0
"AAEL000495",0,0,0,0,1,0
"AAEL000496",2,4,7,960,436,473
"AAEL000498",0,0,0,0,0,0
"AAEL000500",14682,8078,11335,140,641,153
"AAEL000501",0,0,0,0,0,0
"AAEL000502",0,0,0.999998,8,3,6
"AAEL000504",0,0,0,3,0,0
"AAEL000505",20,16,10,113,139,143
"AAEL000507",0,0,0,0,0,1
"AAEL000508",1,1,0,0,1,5
"AAEL000509",6,3,8,20,7,8
"AAEL000510",9,19,15,34,30,39
"AAEL000511",1,2,1,3,1,2
"AAEL000512",0,1,0,0,1,0
"AAEL000515",53,32,29,120,103,99
"AAEL000516",141,197,72,1458,1267,1512
"AAEL000517",0,0,0,0,0,0
"AAEL000518",0,0,0,0,0,0
"AAEL000519",0,0,0,0,0,0
"AAEL000521",0,0,0,0,0,0
"AAEL000523",4,16,16,20,19,30
"AAEL000528",0,0,0,0,0,0
"AAEL000529",3.512918,24.39974,2.614832,7.689475,0,3.527811
"AAEL000530",0,0,0,0,0,1
"AAEL000533",0,0,0,1,0,0
"AAEL000534",0,0,0,0,0,0
"AAEL000536",1,2,0,0,1,3
"AAEL000541",31,19,16,262,204,182
"AAEL000542",0,0,0,0,0,0
"AAEL000543",7,14,6,11,10,7
"AAEL000544",0,0,0,0,0,0
"AAEL000545",0,0,0,1,0,0
"AAEL000546",0,3,1,22,16,10
"AAEL000547",0,0,0,0,0,0
"AAEL000549",187.999999,185.000001,212,2195,1737,1925.999999
"AAEL000550",13,21,11,25,21,24
"AAEL000551",5,7,5,37,31,27
"AAEL000552",0,0,0,0,0,0
"AAEL000554",0,0,0,0,0,0
"AAEL000556",0,0,0,3,0,0
"AAEL000558",1,1,0,4,0,0
"AAEL000559",26,17,10,36,25,25
"AAEL000561",11,10,11,47,17,27
"AAEL000562",36,43,39,62,44,55
"AAEL000563",0,1,0,1,2,4
"AAEL000564",17,14.999999,19,47,38.000001,43
"AAEL000566",0,2,0,13,1,5
"AAEL000568",135,160,85,213,170,129
"AAEL000569",0,0,4,3,0,0
"AAEL000571",0,1,0,0,0,1
"AAEL000572",15,4,3,10,7,5
"AAEL000574",47,54,62,176,126,102
"AAEL000575",64,65,41,57,32,37
"AAEL000576",0,0,0,0,0,0
"AAEL000578",1,3,1,40,28,16
"AAEL000579",14,18,11.181989,26.3099,23.13023,20.351229
"AAEL000580",0,0,0,0,0,0
"AAEL000581",16,32,21,44,40,35
"AAEL000582",0,0,0,0,0,0
"AAEL000583",15,13,3,18,19,13
"AAEL000584",0,0,0,0,0,0
"AAEL000585",29,8,30,0,0,0
"AAEL000589",79,99,106,409,357,390.999999
"AAEL000590",84,164,152,150,163,138
"AAEL000593",0,1,2,11,5,2
"AAEL000594",18,31,16,46,42,33
"AAEL000595",0,0,0,1,2,5
"AAEL000596",0,0,0,1,2,0
"AAEL000597",0,0,1,8,5,5
"AAEL000599",0,0,0,0,0,0
"AAEL000600",0,0,0,1,0,0
"AAEL000603",0,0,0,0,0,0
"AAEL000604",1,2,4,1,2,0
"AAEL000605",11,27,27,69,61,49
"AAEL000609",0,0,0,0,1,0
"AAEL000613",0,0,0,0,0,0
"AAEL000614",0,0,0,0,0,0
"AAEL000616",0,0,0,0,0,0
"AAEL000618",1,0,2,18,24,15
"AAEL000622",80,71,90,287,256,277
"AAEL000623",0,0,0,0,0,0
"AAEL000626",95.828018,133.234506,91.504846,1054.107308,701.86675,584.456981
"AAEL000628",0,0,0,0,0,0
"AAEL000629",7,7,9,18,10,5
"AAEL000630",0,0,0,0,0,0
"AAEL000631",0,0,0,0,0,0
"AAEL000633",0,0,0,0,0,0
"AAEL000634",7,7,10,7,12,10
"AAEL000635",19,28,23,42,46,41
"AAEL000636",0,0,0,2,0,0
"AAEL000637",0,0,0,0,0,0
"AAEL000641",788,617,644,2945,2193,1998
"AAEL000642",5,3,2,166,164,165
"AAEL000643",2,4,11,22,18,17
"AAEL000644",0,0,0,0,0,0
"AAEL000645",6,2,3,15,13,6
"AAEL000646",1,3,0,3,4,0
"AAEL000647",771,1414,1140,25452,19921,19116
"AAEL000649",3,3,4,3,3,5
"AAEL000650",0,1,0,0,0,1
"AAEL000651",79,96,95,4345,3710,3555
"AAEL000652",0,0,0,0,0,0
"AAEL000654",104,95,80,107,112,94
"AAEL000656",6,12,17,34,34,29
"AAEL000658",3,10,1,0,0,1
"AAEL000659",4,6,3,11,4,1
"AAEL000660",2,2,2,17,17,17
"AAEL000661",0,1,1,1,1,0
"AAEL000663",9,14,9,185,45,49
"AAEL000665",0,0,0,0,0,0
"AAEL000666",12,43,26,71,52,40
"AAEL000667",48,84,98,50387,45019,43086
"AAEL000668",0,1,1,5,1,3
"AAEL000669",0,0,0,0,0,0
"AAEL000670",13,16,3,37,29,21
"AAEL000671",0,0,0,0,0,0
"AAEL000672",5,8,3,12,13,22
"AAEL000673",62,43,55,96,95,92
"AAEL000674",2,6,1,42,24,21
"AAEL000677",38,30,15,98,69,53
"AAEL000678",13,17,7,565,706,566
"AAEL000679",143,111,82,305,218,204
"AAEL000682",24,39,40,52,45,36
"AAEL000683",0,0,0,0,0,0
"AAEL000685",12,19,6,21,21,13
"AAEL000686",0,0,0,0,0,0
"AAEL000687",113,67,30,1078,776,643
"AAEL000689",5,1,1,32,23,21
"AAEL000690",0,0,0,0,0,0
"AAEL000692",37,46,32,25,28,34
"AAEL000694",0,0,0,0,0,0
"AAEL000697",3,1,3,6,5,8
"AAEL000698",0,0,0,0,1,0
"AAEL000699",1.152126,0,2.115249,3.217116,0,4.497674
"AAEL000701",17,37,20,87,44,32
"AAEL000703",9,10,1,41,21,28
"AAEL000704",3,0,1,2,3,6
"AAEL000705",0,0,0,23,18,14
"AAEL000706",21,50,21,175,134,129
"AAEL000707",7,4,8,44,31,36
"AAEL000708",6,12,8,40,31,23
"AAEL000709",49,48,30,103,93,76
"AAEL000713",33,27,22,34,10,22
"AAEL000714",0,2,0,2,2,4
"AAEL000715",0,0,0,0,0,0
"AAEL000716",45,65,56,32,53,47
"AAEL000717",0,0,1,0,0,0
"AAEL000719",13,21.267537,9.07561,25.502503,20,28.257677
"AAEL000720",12.847874,12,7.884751,28.782884,13,17.502326
"AAEL000721",5,8,4,6.830525,4.763774,7
"AAEL000722",21,12,13,54,42,33
"AAEL000723",0,0,0,0,0,0
"AAEL000724",8,18,18,32,23,25
"AAEL000725",0,0,0,0,0,0
"AAEL000726",0,0,0,0,0,0
"AAEL000729",0,0,1.999999,6,3,6
"AAEL000730",5,7,4,16,10,15
"AAEL000732",0,0,0,0,0,2
"AAEL000733",0,0,0,0,0,0
"AAEL000735",14,7,21,76,80,62
"AAEL000739",0,0,0,0,0,0
"AAEL000744",26,44,13,198,180,195
"AAEL000746",836,171,471,58,87,36
"AAEL000747",4,3,6,6,5,7
"AAEL000748",0,0,0,0,0,0
"AAEL000749",0,0,0,0,0,0
"AAEL000750",9,5,1,31,17,9
"AAEL000751",0,0,0,0,0,0
"AAEL000752",194,212,201,203,219,230
"AAEL000753",346,204,245,333,351,300
"AAEL000755",1.019704,0,1.048817,1.107886,3.07555,0
"AAEL000757",443,203,180,13520,15764,10565
"AAEL000758",180,262,200,649,575,504
"AAEL000759",44,39,32,187,123,175
"AAEL000760",2,0,1,23,11,10
