gene,transcript
AAEL000263,AAEL000263-RE
AAEL000265,AAEL000265-RA
AAEL000266,AAEL000266-RB
AAEL000266,AAEL000266-RC
AAEL000266,AAEL000266-RD
AAEL000267,AAEL000267-RA
AAEL000267,AAEL000267-RB
AAEL000268,AAEL000268-RB
AAEL000268,AAEL000268-RC
AAEL000268,AAEL000268-RD
AAEL000268,AAEL000268-RE
AAEL000269,AAEL000269-RA
AAEL000270,AAEL000270-RA
AAEL000271,AAEL000271-RC
AAEL000271,AAEL000271-RD
AAEL000271,AAEL000271-RE
AAEL000272,AAEL000272-RA
AAEL000272,AAEL000272-RB
AAEL000275,AAEL000275-RB
AAEL000275,AAEL000275-RC
AAEL000275,AAEL000275-RD
AAEL000275,AAEL000275-RE
AAEL000276,AAEL000276-RA
AAEL000276,AAEL000276-RB
AAEL000276,AAEL000276-RC
AAEL000276,AAEL000276-RD
AAEL000276,AAEL000276-RE
AAEL000278,AAEL000278-RA
AAEL000278,AAEL000278-RB
AAEL000278,AAEL000278-RC
AAEL000278,AAEL000278-RD
AAEL000278,AAEL000278-RE
AAEL000279,AAEL000279-RB
AAEL000281,AAEL000281-RA
AAEL000281,AAEL000281-RB
AAEL000281,AAEL000281-RC
AAEL000282,AAEL000282-RB
AAEL000283,AAEL000283-RB
AAEL000284,AAEL000284-RA
AAEL000284,AAEL000284-RB
AAEL000285,AAEL000285-RA
AAEL000285,AAEL000285-RB
AAEL000287,AAEL000287-RB
AAEL000288,AAEL000288-RA
AAEL000288,AAEL000288-RB
AAEL000288,AAEL000288-RC
AAEL000288,AAEL000288-RD
AAEL000288,AAEL000288-RE
AAEL000288,AAEL000288-RF
AAEL000288,AAEL000288-RG
AAEL000288,AAEL000288-RH
AAEL000289,AAEL000289-RA
AAEL000289,AAEL000289-RB
AAEL000290,AAEL000290-RA
AAEL000291,AAEL000291-RA
AAEL000292,AAEL000292-RB
AAEL000292,AAEL000292-RC
AAEL000293,AAEL000293-RA
AAEL000294,AAEL000294-RA
AAEL000297,AAEL000297-RA
AAEL000298,AAEL000298-RA
AAEL000299,AAEL000299-RA
AAEL000301,AAEL000301-RA
AAEL000304,AAEL000304-RF
AAEL000305,AAEL000305-RA
AAEL000308,AAEL000308-RA
AAEL000308,AAEL000308-RB
AAEL000308,AAEL000308-RC
AAEL000308,AAEL000308-RD
AAEL000308,AAEL000308-RE
AAEL000308,AAEL000308-RF
AAEL000308,AAEL000308-RG
AAEL000311,AAEL000311-RA
AAEL000311,AAEL000311-RB
AAEL000311,AAEL000311-RC
AAEL000312,AAEL000312-RA
AAEL000314,AAEL000314-RB
AAEL000315,AAEL000315-RB
AAEL000315,AAEL000315-RC
AAEL000315,AAEL000315-RD
AAEL000316,AAEL000316-RA
AAEL000320,AAEL000320-RA
AAEL000322,AAEL000322-RA
AAEL000322,AAEL000322-RB
AAEL000323,AAEL000323-RA
AAEL000324,AAEL000324-RB
AAEL000326,AAEL000326-RB
AAEL000327,AAEL000327-RB
AAEL000327,AAEL000327-RC
AAEL000328,AAEL000328-RA
AAEL000328,AAEL000328-RB
AAEL000328,AAEL000328-RC
AAEL000328,AAEL000328-RD
AAEL000328,AAEL000328-RE
AAEL000329,AAEL000329-RA
AAEL000330,AAEL000330-RA
AAEL000332,AAEL000332-RA
AAEL000334,AAEL000334-RB
AAEL000334,AAEL000334-RC
AAEL000335,AAEL000335-RA
AAEL000336,AAEL000336-RA
AAEL000337,AAEL000337-RA
AAEL000338,AAEL000338-RB
AAEL000340,AAEL000340-RB
AAEL000341,AAEL000341-RB
AAEL000342,AAEL000342-RB
AAEL000342,AAEL000342-RC
AAEL000342,AAEL000342-RD
AAEL000342,AAEL000342-RE
AAEL000342,AAEL000342-RF
AAEL000342,AAEL000342-RG
AAEL000342,AAEL000342-RH
AAEL000343,AAEL000343-RC
AAEL000343,AAEL000343-RD
AAEL000343,AAEL000343-RE
AAEL000344,AAEL000344-RA
AAEL000348,AAEL000348-RB
AAEL000348,AAEL000348-RC
AAEL000348,AAEL000348-RD
AAEL000348,AAEL000348-RE
AAEL000351,AAEL000351-RB
AAEL000351,AAEL000351-RC
AAEL000354,AAEL000354-RA
AAEL000354,AAEL000354-RB
AAEL000356,AAEL000356-RB
AAEL000357,AAEL000357-RA
AAEL000359,AAEL000359-RA
AAEL000360,AAEL000360-RA
AAEL000362,AAEL000362-RA
AAEL000362,AAEL000362-RB
AAEL000362,AAEL000362-RC
AAEL000362,AAEL000362-RD
AAEL000362,AAEL000362-RE
AAEL000362,AAEL000362-RF
AAEL000370,AAEL000370-RA
AAEL000370,AAEL000370-RB
AAEL000370,AAEL000370-RC
AAEL000372,AAEL000372-RA
AAEL000377,AAEL000377-RA
AAEL000378,AAEL000378-RA
AAEL000379,AAEL000379-RA
AAEL000382,AAEL000382-RA
AAEL000383,AAEL000383-RB
AAEL000384,AAEL000384-RB
AAEL000385,AAEL000385-RC
AAEL000385,AAEL000385-RD
AAEL000386,AAEL000386-RA
AAEL000387,AAEL000387-RB
AAEL000388,AAEL000388-RA
AAEL000394,AAEL000394-RA
AAEL000395,AAEL000395-RA
AAEL000395,AAEL000395-RB
AAEL000396,AAEL000396-RA
AAEL000397,AAEL000397-RB
AAEL000397,AAEL000397-RC
AAEL000399,AAEL000399-RA
AAEL000401,AAEL000401-RA
AAEL000403,AAEL000403-RA
AAEL000404,AAEL000404-RA
AAEL000405,AAEL000405-RB
AAEL000405,AAEL000405-RC
AAEL000405,AAEL000405-RD
AAEL000405,AAEL000405-RE
AAEL000405,AAEL000405-RF
AAEL000405,AAEL000405-RG
AAEL000405,AAEL000405-RH
AAEL000405,AAEL000405-RI
AAEL000405,AAEL000405-RJ
AAEL000405,AAEL000405-RK
AAEL000406,AAEL000406-RA
AAEL000407,AAEL000407-RA
AAEL000408,AAEL000408-RA
AAEL000410,AAEL000410-RA
AAEL000411,AAEL000411-RA
AAEL000412,AAEL000412-RA
AAEL000412,AAEL000412-RB
AAEL000414,AAEL000414-RA
AAEL000415,AAEL000415-RA
AAEL000415,AAEL000415-RB
AAEL000415,AAEL000415-RC
AAEL000416,AAEL000416-RA
AAEL000417,AAEL000417-RB
AAEL000417,AAEL000417-RC
AAEL000417,AAEL000417-RD
AAEL000417,AAEL000417-RE
AAEL000417,AAEL000417-RF
AAEL000417,AAEL000417-RG
AAEL000417,AAEL000417-RH
AAEL000417,AAEL000417-RI
AAEL000417,AAEL000417-RJ
AAEL000417,AAEL000417-RK
AAEL000417,AAEL000417-RL
AAEL000417,AAEL000417-RM
AAEL000417,AAEL000417-RN
AAEL000418,AAEL000418-RA
AAEL000419,AAEL000419-RA
AAEL000419,AAEL000419-RB
AAEL000420,AAEL000420-RB
AAEL000421,AAEL000421-RA
AAEL000422,AAEL000422-RB
AAEL000424,AAEL000424-RA
AAEL000424,AAEL000424-RB
AAEL000424,AAEL000424-RC
AAEL000425,AAEL000425-RA
AAEL000427,AAEL000427-RA
AAEL000427,AAEL000427-RB
AAEL000428,AAEL000428-RA
AAEL000429,AAEL000429-RB
AAEL000429,AAEL000429-RC
AAEL000431,AAEL000431-RA
AAEL000432,AAEL000432-RA
AAEL000433,AAEL000433-RB
AAEL000434,AAEL000434-RA
AAEL000435,AAEL000435-RA
AAEL000436,AAEL000436-RA
AAEL000438,AAEL000438-RA
AAEL000438,AAEL000438-RB
AAEL000439,AAEL000439-RA
AAEL000440,AAEL000440-RA
AAEL000440,AAEL000440-RB
AAEL000441,AAEL000441-RA
AAEL000442,AAEL000442-RA
AAEL000444,AAEL000444-RA
AAEL000445,AAEL000445-RC
AAEL000445,AAEL000445-RD
AAEL000448,AAEL000448-RA
AAEL000448,AAEL000448-RB
AAEL000448,AAEL000448-RC
AAEL000449,AAEL000449-RA
AAEL000450,AAEL000450-RA
AAEL000451,AAEL000451-RA
AAEL000452,AAEL000452-RA
AAEL000454,AAEL000454-RA
AAEL000454,AAEL000454-RB
AAEL000455,AAEL000455-RA
AAEL000457,AAEL000457-RA
AAEL000457,AAEL000457-RB
AAEL000458,AAEL000458-RC
AAEL000458,AAEL000458-RD
AAEL000458,AAEL000458-RE
AAEL000459,AAEL000459-RA
AAEL000460,AAEL000460-RA
AAEL000461,AAEL000461-RC
AAEL000461,AAEL000461-RD
AAEL000461,AAEL000461-RE
AAEL000461,AAEL000461-RF
AAEL000461,AAEL000461-RG
AAEL000461,AAEL000461-RH
AAEL000461,AAEL000461-RI
AAEL000461,AAEL000461-RJ
AAEL000461,AAEL000461-RK
AAEL000461,AAEL000461-RL
AAEL000461,AAEL000461-RM
AAEL000461,AAEL000461-RN
AAEL000461,AAEL000461-RO
AAEL000461,AAEL000461-RP
AAEL000462,AAEL000462-RB
AAEL000463,AAEL000463-RA
AAEL000464,AAEL000464-RB
AAEL000464,AAEL000464-RC
AAEL000464,AAEL000464-RD
AAEL000464,AAEL000464-RE
AAEL000465,AAEL000465-RA
AAEL000467,AAEL000467-RA
AAEL000468,AAEL000468-RB
AAEL000469,AAEL000469-RA
AAEL000471,AAEL000471-RA
AAEL000474,AAEL000474-RB
AAEL000475,AAEL000475-RA
AAEL000476,AAEL000476-RE
AAEL000476,AAEL000476-RF
AAEL000476,AAEL000476-RG
AAEL000476,AAEL000476-RH
AAEL000476,AAEL000476-RI
AAEL000476,AAEL000476-RJ
AAEL000477,AAEL000477-RA
AAEL000478,AAEL000478-RA
AAEL000483,AAEL000483-RA
AAEL000484,AAEL000484-RA
AAEL000485,AAEL000485-RB
AAEL000485,AAEL000485-RC
AAEL000486,AAEL000486-RA
AAEL000487,AAEL000487-RA
AAEL000488,AAEL000488-RB
AAEL000488,AAEL000488-RC
AAEL000488,AAEL000488-RD
AAEL000492,AAEL000492-RB
AAEL000495,AAEL000495-RA
AAEL000496,AAEL000496-RA
AAEL000496,AAEL000496-RB
AAEL000498,AAEL000498-RB
AAEL000500,AAEL000500-RA
AAEL000501,AAEL000501-RB
AAEL000502,AAEL000502-RA
AAEL000504,AAEL000504-RB
AAEL000504,AAEL000504-RC
AAEL000504,AAEL000504-RD
AAEL000504,AAEL000504-RE
AAEL000504,AAEL000504-RF
AAEL000505,AAEL000505-RA
AAEL000507,AAEL000507-RB
AAEL000508,AAEL000508-RA
AAEL000509,AAEL000509-RB
AAEL000510,AAEL000510-RA
AAEL000510,AAEL000510-RB
AAEL000511,AAEL000511-RB
AAEL000511,AAEL000511-RC
AAEL000511,AAEL000511-RD
AAEL000511,AAEL000511-RE
AAEL000511,AAEL000511-RF
AAEL000511,AAEL000511-RG
AAEL000511,AAEL000511-RH
AAEL000511,AAEL000511-RI
AAEL000511,AAEL000511-RJ
AAEL000512,AAEL000512-RA
AAEL000515,AAEL000515-RA
AAEL000516,AAEL000516-RA
AAEL000516,AAEL000516-RB
AAEL000517,AAEL000517-RB
AAEL000518,AAEL000518-RB
AAEL000519,AAEL000519-RA
AAEL000521,AAEL000521-RA
AAEL000521,AAEL000521-RB
AAEL000521,AAEL000521-RC
AAEL000523,AAEL000523-RB
AAEL000523,AAEL000523-RC
AAEL000523,AAEL000523-RD
AAEL000523,AAEL000523-RE
AAEL000523,AAEL000523-RF
AAEL000523,AAEL000523-RG
AAEL000523,AAEL000523-RH
AAEL000523,AAEL000523-RI
AAEL000523,AAEL000523-RJ
AAEL000523,AAEL000523-RK
AAEL000523,AAEL000523-RL
AAEL000528,AAEL000528-RA
AAEL000529,AAEL000529-RB
AAEL000530,AAEL000530-RA
AAEL000533,AAEL000533-RA
AAEL000534,AAEL000534-RB
AAEL000536,AAEL000536-RB
AAEL000536,AAEL000536-RC
AAEL000541,AAEL000541-RB
AAEL000541,AAEL000541-RC
AAEL000542,AAEL000542-RA
AAEL000542,AAEL000542-RB
AAEL000543,AAEL000543-RA
AAEL000544,AAEL000544-RA
AAEL000545,AAEL000545-RB
AAEL000546,AAEL000546-RA
AAEL000547,AAEL000547-RA
AAEL000549,AAEL000549-RB
AAEL000549,AAEL000549-RC
AAEL000549,AAEL000549-RD
AAEL000549,AAEL000549-RE
AAEL000549,AAEL000549-RF
AAEL000549,AAEL000549-RG
AAEL000550,AAEL000550-RA
AAEL000551,AAEL000551-RA
AAEL000552,AAEL000552-RB
AAEL000554,AAEL000554-RB
AAEL000556,AAEL000556-RA
AAEL000558,AAEL000558-RA
AAEL000558,AAEL000558-RB
AAEL000558,AAEL000558-RC
AAEL000558,AAEL000558-RD
AAEL000558,AAEL000558-RE
AAEL000558,AAEL000558-RF
AAEL000558,AAEL000558-RG
AAEL000559,AAEL000559-RB
AAEL000561,AAEL000561-RA
AAEL000562,AAEL000562-RA
AAEL000563,AAEL000563-RA
AAEL000564,AAEL000564-RB
AAEL000564,AAEL000564-RC
AAEL000564,AAEL000564-RD
AAEL000564,AAEL000564-RE
AAEL000564,AAEL000564-RF
AAEL000564,AAEL000564-RG
AAEL000564,AAEL000564-RH
AAEL000564,AAEL000564-RI
AAEL000564,AAEL000564-RJ
AAEL000564,AAEL000564-RK
AAEL000566,AAEL000566-RA
AAEL000568,AAEL000568-RB
AAEL000569,AAEL000569-RA
AAEL000571,AAEL000571-RB
AAEL000571,AAEL000571-RC
AAEL000572,AAEL000572-RB
AAEL000572,AAEL000572-RC
AAEL000572,AAEL000572-RD
AAEL000574,AAEL000574-RA
AAEL000574,AAEL000574-RB
AAEL000575,AAEL000575-RA
AAEL000576,AAEL000576-RB
AAEL000578,AAEL000578-RA
AAEL000579,AAEL000579-RB
AAEL000580,AAEL000580-RA
AAEL000580,AAEL000580-RB
AAEL000580,AAEL000580-RC
AAEL000580,AAEL000580-RD
AAEL000580,AAEL000580-RE
AAEL000581,AAEL000581-RA
AAEL000582,AAEL000582-RB
AAEL000582,AAEL000582-RC
AAEL000583,AAEL000583-RA
AAEL000584,AAEL000584-RA
AAEL000585,AAEL000585-RB
AAEL000589,AAEL000589-RA
AAEL000589,AAEL000589-RB
AAEL000589,AAEL000589-RC
AAEL000589,AAEL000589-RD
AAEL000589,AAEL000589-RE
AAEL000590,AAEL000590-RA
AAEL000593,AAEL000593-RA
AAEL000594,AAEL000594-RA
AAEL000595,AAEL000595-RB
AAEL000595,AAEL000595-RC
AAEL000595,AAEL000595-RD
AAEL000595,AAEL000595-RE
AAEL000595,AAEL000595-RF
AAEL000596,AAEL000596-RB
AAEL000597,AAEL000597-RB
AAEL000599,AAEL000599-RA
AAEL000600,AAEL000600-RA
AAEL000600,AAEL000600-RB
AAEL000600,AAEL000600-RC
AAEL000603,AAEL000603-RB
AAEL000604,AAEL000604-RC
AAEL000605,AAEL000605-RA
AAEL000609,AAEL000609-RA
AAEL000613,AAEL000613-RA
AAEL000614,AAEL000614-RB
AAEL000616,AAEL000616-RB
AAEL000618,AAEL000618-RB
AAEL000622,AAEL000622-RC
AAEL000623,AAEL000623-RA
AAEL000626,AAEL000626-RA
AAEL000626,AAEL000626-RB
AAEL000626,AAEL000626-RC
AAEL000626,AAEL000626-RD
AAEL000628,AAEL000628-RA
AAEL000629,AAEL000629-RA
AAEL000630,AAEL000630-RA
AAEL000630,AAEL000630-RB
AAEL000631,AAEL000631-RB
AAEL000633,AAEL000633-RA
AAEL000634,AAEL000634-RA
AAEL000635,AAEL000635-RA
AAEL000635,AAEL000635-RC
AAEL000636,AAEL000636-RA
AAEL000636,AAEL000636-RB
AAEL000636,AAEL000636-RC
AAEL000637,AAEL000637-RB
AAEL000641,AAEL000641-RA
AAEL000642,AAEL000642-RA
AAEL000643,AAEL000643-RA
AAEL000643,AAEL000643-RB
AAEL000643,AAEL000643-RC
AAEL000643,AAEL000643-RD
AAEL000643,AAEL000643-RE
AAEL000643,AAEL000643-RF
AAEL000643,AAEL000643-RG
AAEL000643,AAEL000643-RH
AAEL000644,AAEL000644-RA
AAEL000645,AAEL000645-RB
AAEL000646,AAEL000646-RA
AAEL000647,AAEL000647-RA
AAEL000649,AAEL000649-RA
AAEL000649,AAEL000649-RB
AAEL000649,AAEL000649-RC
AAEL000649,AAEL000649-RD
AAEL000649,AAEL000649-RE
AAEL000649,AAEL000649-RF
AAEL000649,AAEL000649-RG
AAEL000650,AAEL000650-RA
AAEL000651,AAEL000651-RA
AAEL000652,AAEL000652-RB
AAEL000654,AAEL000654-RA
AAEL000654,AAEL000654-RB
AAEL000656,AAEL000656-RA
AAEL000658,AAEL000658-RA
AAEL000659,AAEL000659-RA
AAEL000660,AAEL000660-RA
AAEL000661,AAEL000661-RA
AAEL000661,AAEL000661-RB
AAEL000661,AAEL000661-RC
AAEL000661,AAEL000661-RD
AAEL000661,AAEL000661-RE
AAEL000663,AAEL000663-RA
AAEL000665,AAEL000665-RA
AAEL000666,AAEL000666-RB
AAEL000666,AAEL000666-RC
AAEL000666,AAEL000666-RD
AAEL000666,AAEL000666-RE
AAEL000667,AAEL000667-RB
AAEL000668,AAEL000668-RA
AAEL000669,AAEL000669-RB
AAEL000670,AAEL000670-RA
AAEL000671,AAEL000671-RA
AAEL000671,AAEL000671-RB
